epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7206723690032959,0.9126220941543579,0.7333025336265564,0.7606663703918457,0.6695278882980347,0.8257956504821777,0.9655175805091858,0.4406130611896515,0.8502673506736755,0.7989949584007263
1,0.882331907749176,0.9812424778938293,0.3194355368614197,0.8979591727256775,0.8655221462249756,0.857621431350708,0.976561427116394,0.3570270538330078,0.8851590156555176,0.839195966720581
2,0.9220314621925354,0.9913806319236755,0.22010615468025208,0.9290392994880676,0.9130901098251343,0.8743718862533569,0.9797943830490112,0.3285968005657196,0.8911917209625244,0.8643215894699097
3,0.9442059993743896,0.9960546493530273,0.15524077415466309,0.9506710171699524,0.9374105930328369,0.8911222815513611,0.9801010489463806,0.3242849111557007,0.8954468965530396,0.8894472122192383
4,0.9674534797668457,0.9979888200759888,0.11314599215984344,0.9722322225570679,0.9642346501350403,0.8994975090026855,0.9822820425033569,0.31649383902549744,0.9066213965415955,0.8944723606109619
5,0.9792560935020447,0.9990720748901367,0.07994752377271652,0.9820079207420349,0.9760372042655945,0.9112227559089661,0.9842923283576965,0.2945069968700409,0.913705587387085,0.9045225977897644
6,0.9885550737380981,0.9996470212936401,0.05850808694958687,0.989605724811554,0.9874821305274963,0.8894472122192383,0.9827548861503601,0.3088876008987427,0.8920742273330688,0.8860971331596375
7,0.9924892783164978,0.9998756051063538,0.04278428480029106,0.9928366541862488,0.991416335105896,0.9212730526924133,0.9854558110237122,0.2823542654514313,0.9239864945411682,0.9162479043006897
8,0.9932045936584473,0.9999080896377563,0.035165321081876755,0.9935576319694519,0.9928469061851501,0.9179229736328125,0.9817882180213928,0.30126577615737915,0.9225589036941528,0.9179229736328125
9,0.9978540539741516,0.9999827742576599,0.0224035382270813,0.9978540539741516,0.9978540539741516,0.9195979833602905,0.981828510761261,0.3008417785167694,0.9241146445274353,0.9179229736328125
10,0.9978540539741516,0.9999904632568359,0.018336979672312737,0.9978540539741516,0.9978540539741516,0.9045225977897644,0.9845389127731323,0.3120022416114807,0.9087837934494019,0.9011725187301636
