epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.657010018825531,0.8814842700958252,0.8372297883033752,0.7217044234275818,0.5815450549125671,0.7705192565917969,0.9370896816253662,0.6079824566841125,0.8241965770721436,0.7303182482719421
1,0.8082975745201111,0.9595387578010559,0.48798659443855286,0.8458513617515564,0.7693132758140564,0.7939698696136475,0.9520629644393921,0.5259964466094971,0.8432835936546326,0.7571189403533936
2,0.8712446093559265,0.9801908135414124,0.3456929922103882,0.8985947370529175,0.8462088704109192,0.7956448793411255,0.951710045337677,0.5292481780052185,0.8139534592628479,0.7621440291404724
3,0.9102289080619812,0.9894942045211792,0.26112595200538635,0.9262569546699524,0.8894850015640259,0.8123953342437744,0.9610428810119629,0.4769304096698761,0.8473967909812927,0.7906197905540466
4,0.9434906840324402,0.9959931373596191,0.18190142512321472,0.9566495418548584,0.9313304424285889,0.8224455714225769,0.9622666835784912,0.4710719883441925,0.8342059254646301,0.8006700277328491
5,0.9635193347930908,0.9981040358543396,0.13768547773361206,0.9709724187850952,0.9570815563201904,0.8274706602096558,0.9645013809204102,0.4684155285358429,0.8409090638160706,0.805695116519928
6,0.979613721370697,0.9993409514427185,0.1018456518650055,0.9837545156478882,0.9746065735816956,0.8341708779335022,0.9604863524436951,0.5052869915962219,0.8462867140769958,0.8207705020904541
7,0.9903433322906494,0.9998696446418762,0.07224772870540619,0.9917355179786682,0.9871244430541992,0.8308207988739014,0.9593875408172607,0.5169321894645691,0.8428324460983276,0.8174204230308533
8,0.9964234828948975,0.9999824166297913,0.051427025347948074,0.9971325993537903,0.9949928522109985,0.8207705020904541,0.9575740098953247,0.5456594824790955,0.8339040875434875,0.8157454133033752
9,0.9989270567893982,0.9999971985816956,0.03678581118583679,0.9989266395568848,0.9985693693161011,0.8324958086013794,0.9562903046607971,0.5723225474357605,0.8395904302597046,0.8241205811500549
