epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6262518167495728,0.844833493232727,0.9702498316764832,0.688069224357605,0.5404148697853088,0.7118927836418152,0.9137488603591919,0.707216203212738,0.7620889544487,0.6599665284156799
1,0.7707439064979553,0.9435303211212158,0.5718225240707397,0.8170092701911926,0.7249642610549927,0.7604690194129944,0.9271501898765564,0.6498872637748718,0.7949183583259583,0.733668327331543
2,0.8154506683349609,0.9627184867858887,0.46516215801239014,0.850547730922699,0.7775393128395081,0.7788944840431213,0.9469112753868103,0.5501127243041992,0.8247232437133789,0.7487437129020691
3,0.8540772795677185,0.9765229225158691,0.37168484926223755,0.8783938884735107,0.8215307593345642,0.7772194147109985,0.9447404146194458,0.5751046538352966,0.8100358247756958,0.7571189403533936
4,0.8716022968292236,0.9804167151451111,0.3346957862377167,0.8889303207397461,0.8530042767524719,0.7822445631027222,0.9442784190177917,0.5732541680335999,0.8014184236526489,0.7571189403533936
5,0.8991416096687317,0.9878234267234802,0.2727934718132019,0.9160787463188171,0.882331907749176,0.7788944840431213,0.9524254202842712,0.5291280150413513,0.7961335778236389,0.7587939500808716
