epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5515021681785583,0.7776111364364624,2.4136862754821777,0.570650041103363,0.5243204832077026,0.6649916172027588,0.8957458138465881,0.7910031676292419,0.7134146094322205,0.5879396796226501
1,0.7088698148727417,0.9141596555709839,0.7298263311386108,0.7658863067626953,0.6552217602729797,0.7638190984725952,0.9439278244972229,0.5680052042007446,0.7966417670249939,0.715242862701416
2,0.7989985942840576,0.9533159732818604,0.5261455178260803,0.836463212966919,0.764663815498352,0.8123953342437744,0.9600252509117126,0.48188719153404236,0.831873893737793,0.7956448793411255
3,0.8401287794113159,0.9703990817070007,0.40897834300994873,0.8685606122016907,0.8201001286506653,0.839195966720581,0.9700452089309692,0.40815800428390503,0.8536585569381714,0.8207705020904541
4,0.8805436491966248,0.9803647994995117,0.3285162150859833,0.9001495838165283,0.8608726859092712,0.8643215894699097,0.9721136689186096,0.40047863125801086,0.8797250986099243,0.857621431350708
5,0.8930615186691284,0.9848566055297852,0.28885626792907715,0.9109461903572083,0.878040075302124,0.8509212732315063,0.9759050607681274,0.3515140414237976,0.8706896305084229,0.8458961248397827
6,0.9105865359306335,0.9896961450576782,0.23355604708194733,0.9219779968261719,0.9002146124839783,0.8860971331596375,0.9786795377731323,0.33904829621315,0.8979591727256775,0.8844221234321594
7,0.9277539253234863,0.9925801753997803,0.19789031147956848,0.9375,0.917382001876831,0.8777219653129578,0.9776432514190674,0.34239062666893005,0.8873720169067383,0.8710217475891113
8,0.9417024254798889,0.9944457411766052,0.17017285525798798,0.9488388895988464,0.9352646470069885,0.8810720443725586,0.9806983470916748,0.3214890956878662,0.8851351141929626,0.8777219653129578
9,0.946351945400238,0.9958446621894836,0.14543479681015015,0.9533116221427917,0.942060112953186,0.8911222815513611,0.9798082709312439,0.3239671289920807,0.8966101408004761,0.8860971331596375
